docId,sentenceId,tokenId,text,lemma,ner,clID
pl-103,0,1,Okrutny,,O,
pl-103,0,2,wyrok,,O,
pl-103,0,3,dla,,O,
pl-103,0,4,matki,,O,
pl-103,0,5,piątki,,O,
pl-103,0,6,dzieci,,O,
pl-103,0,7,w,,O,
pl-103,0,8,Pakistanie,Pakistan,B-LOC,GPE-Pakistan
pl-103,1,1,Urodzona,,O,
pl-103,1,2,w,,O,
pl-103,1,3,Pakistanie,Pakistan,B-LOC,GPE-Pakistan
pl-103,1,4,katoliczka,,O,
pl-103,1,5,została,,O,
pl-103,1,6,aresztowana,,O,
pl-103,1,7,w,,O,
pl-103,1,8,2009,,O,
pl-103,1,9,roku,,O,
pl-103,1,10,.,,O,
pl-103,2,1,Zarzut,,O,
pl-103,2,2,bluźnierstwa,,O,
pl-103,2,3,postawiono,,O,
pl-103,2,4,jej,,O,
pl-103,2,5,zgodnie,,O,
pl-103,2,6,z,,O,
pl-103,2,7,prawem,,O,
pl-103,2,8,zawartym,,O,
pl-103,2,9,w,,O,
pl-103,2,10,Pakistańskim,Pakistański,B-PRO,PRO-The-Pakistan-Penal-Code
pl-103,2,11,Kodeksie,Kodeks,I-PRO,PRO-The-Pakistan-Penal-Code
pl-103,2,12,Karnym,Karny,I-PRO,PRO-The-Pakistan-Penal-Code
pl-103,2,13,.,,O,
pl-103,3,1,Jak,,O,
pl-103,3,2,donosi,,O,
pl-103,3,3,"""",,O,
pl-103,3,4,Independent,Independent,B-PRO,PRO-The-Independent
pl-103,3,5,"""",,O,
pl-103,3,6,",",,O,
pl-103,3,7,jeśli,,O,
pl-103,3,8,apelacja,,O,
pl-103,3,9,nie,,O,
pl-103,3,10,odniesie,,O,
pl-103,3,11,zamierzonego,,O,
pl-103,3,12,skutku,,O,
pl-103,3,13,",",,O,
pl-103,3,14,matka,,O,
pl-103,3,15,pięciorga,,O,
pl-103,3,16,dzieci,,O,
pl-103,3,17,stanie,,O,
pl-103,3,18,się,,O,
pl-103,3,19,pierwszą,,O,
pl-103,3,20,Pakistanką,Pakistanka,B-PER,GPE-Pakistan
pl-103,3,21,straconą,,O,
pl-103,3,22,za,,O,
pl-103,3,23,bluźnierstwo,,O,
pl-103,3,24,.,,O,
pl-103,4,1,Sprawa,,O,
pl-103,4,2,Bibi,Bibi,B-PER,PER-Asia-Bibi
pl-103,4,3,przyciągnęła,,O,
pl-103,4,4,uwagę,,O,
pl-103,4,5,światowej,,O,
pl-103,4,6,opinii,,O,
pl-103,4,7,publicznej,,O,
pl-103,4,8,.,,O,
pl-103,5,1,Wypowiedział,,O,
pl-103,5,2,się,,O,
pl-103,5,3,o,,O,
pl-103,5,4,niej,,O,
pl-103,5,5,nawet,,O,
pl-103,5,6,papież,,O,
pl-103,5,7,Benedykt,Benedykt,B-PER,PER-Benedict-XVI
pl-103,5,8,XVI,XVI,I-PER,PER-Benedict-XVI
pl-103,5,9,",",,O,
pl-103,5,10,twierdząc,,O,
pl-103,5,11,",",,O,
